Toy Manufacturer,Car Manufacturer,Toy Car Name,Car Year,Toy Year,Color,Variant,Pack
a0K2v00000ulvryEAA,a0L2v00001rNQD7EAO,67 Custom Mustang,1967,,Dark Green,Fast and Furious,Fast and Furious 5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQD0EAO,70 Monte Carlo,1970,,Pale Yellow and Grey,Fast and Furious,Fast and Furious 5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQDMEA4,911 GT3 RS,,,Blue,Fast and Furious,Fast and Furious 5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQDMEA4,911 GT2,,,Red,Exotics,5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQDMEA4,Cayman S,,,Blue,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNUx1EAG,Skyline GTR R34,,,Grey,Fast and Furious,Fast and Furious 5-pack
a0K2v00000ulvryEAA,a0L2v00001rNUx1EAG,Skyline H/T 2000 GTR Police,1972,,Red,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD0EAO,69 Camaro,1969,,Blue,Fast and Furious,Fast and Furious 5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQD4EAO,Charger R/T,,,Maroon,,
a0K2v00000ulvryEAA,a0L2v00001rNQD0EAO,58 Corvette,1958,,Red,,
a0K2v00000ulvryEAA,a0L2v00001rNQD0EAO,Corvette Grand Sport,,,Royal Blue,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQDDEA4,Gallardo LP-570-4 Superleggera,,,Yellow,Gran Turismo,Singles
a0K2v00000ulvryEAA,a0L2v00001rNUx6EAG,RS 6 Avant,2017,,Blue,,Singles
a0K2v00000ulvs3EAA,a0L2v00001rNQDAEA4,E-type Coupe,1961,,Sky Blue,,5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQDDEA4,Centenario Roadster,2017,,Grey,,Singles
a0K2v00000ulvs3EAA,a0L2v00001rNQCyEAO,Century Police,1956,,Black,,5-pack
a0K2v00000ulvryEAA,a0L2v00001rNUxBEAW,Champ,1963,,White,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD9EAO,Hornet,1952,,Black,,
