Toy Manufacturer,Car Manufacturer,Toy Car Name,Car Year,Toy Year,Color,Variant,Pack
a0K2v00000ulvs8EAA,a0L2v00001rNQD1EAO,Copen,,,Sky Blue,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD2EAO,Custom 240Z,,,Royal Blue,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD3EAO,Cruella De Vil,,,Red,102 Dalmations,Singles
a0K2v00000ulvsOEAQ,a0L2v00001rNQD3EAO,Lightning McQueen,,,Red,Cars,Singles
a0K2v00000ulvs8EAA,a0L2v00001rNQD3EAO,Lightning McQueen,,,White,Cars,Singles
a0K2v00000ulvsDEAQ,a0L2v00001rNQD4EAO,Charger,2011,,Black,John Wick,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD4EAO,Coronet Superbee,1969,,Blue,,Singles
a0K2v00000ulvs8EAA,a0L2v00001rNQD5EAO,Max Schnell,,,Purple,Cars 2,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,CCM Country Club Muscle,,,Yellow,,
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,Deuce Roadster,,,Black,,
a0K2v00000ulvryEAA,a0L2v00001rNQD6EAO,512 M,,,Orange,,
a0K2v00000ulvryEAA,a0L2v00001rNQD7EAO,F-150 Raptor,2017,,Black,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD7EAO,Mustang,2005,,Black,Checkmate,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD7EAO,Mustang GT Convertible,2015,,Yellow,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD7EAO,F1 Pickup,1949,,Royal Blue,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD7EAO,GT-40,,,Red,,10-pack
a0K2v00000ulvs8EAA,a0K2v00000ulvs8EAA,Fuso Truck Series,,,Blue,,
a0K2v00000ulvsSEAQ,a0L2v00001rNQD8EAO,Acura NSX,,,Yellow,,
a0K2v00000ulvryEAA,a0L2v00001rNQDAEA4,XJ 220,,,Green,Exotics,5-pack
a0K2v00000ulvs8EAA,a0L2v00001rNQDCEA4,HMV,,,Green,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQDDEA4,Countach LP500,,,Red,Lamborghini,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQDDEA4,Huracan LP 610-4,2014,,White,Forza Motorsport,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQDDEA4,Sesto Elemento,,,Golden Yellow,Exotics,5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQDFEA4,Esprit S1,,,Black,,Singles
a0K2v00000ulvsSEAQ,a0L2v00001rNQDGEA4,MX-5 Miata,,,Blue,,
a0K2v00000ulvryEAA,a0L2v00001rNQDHEA4,P1,,,Orange,Forza Motorsport,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQDHEA4,F1 GTR,,,White,Exotics,5-pack
a0K2v00000ulvsSEAQ,a0L2v00001rNQDJEA4,Cooper,,,Brown,,
a0K2v00000ulvryEAA,a0L2v00001rNQDKEA4,"Minor 1000 Traveller ""MG Rover""",1971,,Brown,Pirates,5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQDLEA4,Hemi Cuda,,,Orange,,10-pack
a0K2v00000ulvryEAA,a0L2v00001rNQDLEA4,Barracuda Formula S,,,Golden,,10-pack
a0K2v00000ulvsSEAQ,a0L2v00001rNQDMEA4,959,,,Red,,
a0K2v00000ulvryEAA,a0L2v00001rNQDNEA4,RS Sport 01,,,Orange,Exotics,5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQDOEA4,xB,,,Black,X-Raycers,5-pack
a0K2v00000ulvsDEAQ,a0L2v00001rNQDPEA4,GT 350 KR,1968,,Green,Gas Monkey Garage,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQDQEA4,Supra,1994,,White,Fast and Furious,Singles
a0K2v00000ulvs8EAA,a0L2v00001rNQDQEA4,Prius,,,White,,
a0K2v00000ulvsDEAQ,a0L2v00001rNQDREA4,Beetle,,,Red & Golden Yellow,,Singles
